"Label (Grouping)","Washington!!Estimate","Washington!!Percent","Adams County, Washington!!Estimate","Adams County, Washington!!Percent","Asotin County, Washington!!Estimate","Asotin County, Washington!!Percent","Benton County, Washington!!Estimate","Benton County, Washington!!Percent","Chelan County, Washington!!Estimate","Chelan County, Washington!!Percent","Clallam County, Washington!!Estimate","Clallam County, Washington!!Percent","Clark County, Washington!!Estimate","Clark County, Washington!!Percent","Columbia County, Washington!!Estimate","Columbia County, Washington!!Percent","Cowlitz County, Washington!!Estimate","Cowlitz County, Washington!!Percent","Douglas County, Washington!!Estimate","Douglas County, Washington!!Percent","Ferry County, Washington!!Estimate","Ferry County, Washington!!Percent","Franklin County, Washington!!Estimate","Franklin County, Washington!!Percent","Garfield County, Washington!!Estimate","Garfield County, Washington!!Percent","Grant County, Washington!!Estimate","Grant County, Washington!!Percent","Grays Harbor County, Washington!!Estimate","Grays Harbor County, Washington!!Percent","Island County, Washington!!Estimate","Island County, Washington!!Percent","Jefferson County, Washington!!Estimate","Jefferson County, Washington!!Percent","King County, Washington!!Estimate","King County, Washington!!Percent","Kitsap County, Washington!!Estimate","Kitsap County, Washington!!Percent","Kittitas County, Washington!!Estimate","Kittitas County, Washington!!Percent","Klickitat County, Washington!!Estimate","Klickitat County, Washington!!Percent","Lewis County, Washington!!Estimate","Lewis County, Washington!!Percent","Lincoln County, Washington!!Estimate","Lincoln County, Washington!!Percent","Mason County, Washington!!Estimate","Mason County, Washington!!Percent","Okanogan County, Washington!!Estimate","Okanogan County, Washington!!Percent","Pacific County, Washington!!Estimate","Pacific County, Washington!!Percent","Pend Oreille County, Washington!!Estimate","Pend Oreille County, Washington!!Percent","Pierce County, Washington!!Estimate","Pierce County, Washington!!Percent","San Juan County, Washington!!Estimate","San Juan County, Washington!!Percent","Skagit County, Washington!!Estimate","Skagit County, Washington!!Percent","Skamania County, Washington!!Estimate","Skamania County, Washington!!Percent","Snohomish County, Washington!!Estimate","Snohomish County, Washington!!Percent","Spokane County, Washington!!Estimate","Spokane County, Washington!!Percent","Stevens County, Washington!!Estimate","Stevens County, Washington!!Percent","Thurston County, Washington!!Estimate","Thurston County, Washington!!Percent","Wahkiakum County, Washington!!Estimate","Wahkiakum County, Washington!!Percent","Walla Walla County, Washington!!Estimate","Walla Walla County, Washington!!Percent","Whatcom County, Washington!!Estimate","Whatcom County, Washington!!Percent","Whitman County, Washington!!Estimate","Whitman County, Washington!!Percent","Yakima County, Washington!!Estimate","Yakima County, Washington!!Percent"
"        Now married, except separated","1,560,105","49.7%","3,790","53.2%","4,258","44.7%","39,742","49.1%","15,244","47.6%","17,502","51.4%","105,081","50.9%","893","51.9%","22,029","48.6%","8,816","53.0%","1,470","47.5%","16,206","47.7%","655","68.5%","18,121","49.2%","14,570","47.8%","21,380","58.6%","8,186","53.6%","452,652","48.7%","59,575","53.4%","8,970","47.6%","5,073","53.6%","17,161","50.9%","2,764","61.4%","13,678","51.6%","9,018","53.4%","5,264","51.1%","2,914","52.9%","184,187","49.8%","4,600","56.0%","28,287","52.7%","2,870","54.6%","174,755","52.1%","104,535","47.1%","11,317","57.9%","62,864","50.6%","1,248","66.0%","11,928","46.3%","45,943","47.5%","7,506","37.4%","45,053","46.5%"
"        Separated","50,374","1.6%","355","5.0%","121","1.3%","1,768","2.2%","723","2.3%","281","0.8%","3,135","1.5%","2","0.1%","1,017","2.2%","217","1.3%","50","1.6%","659","1.9%","15","1.6%","1,106","3.0%","528","1.7%","495","1.4%","209","1.4%","13,160","1.4%","1,810","1.6%","192","1.0%","247","2.6%","482","1.4%","70","1.6%","526","2.0%","385","2.3%","153","1.5%","118","2.1%","6,089","1.6%","121","1.5%","815","1.5%","83","1.6%","5,311","1.6%","3,224","1.5%","276","1.4%","1,995","1.6%","18","1.0%","671","2.6%","1,612","1.7%","159","0.8%","2,176","2.2%"
"        Widowed","224,715","7.2%","378","5.3%","1,025","10.8%","5,400","6.7%","2,665","8.3%","3,432","10.1%","15,713","7.6%","235","13.7%","4,038","8.9%","1,759","10.6%","460","14.9%","1,904","5.6%","66","6.9%","3,323","9.0%","2,929","9.6%","3,317","9.1%","1,504","9.9%","54,897","5.9%","8,487","7.6%","948","5.0%","820","8.7%","3,405","10.1%","452","10.0%","2,752","10.4%","1,525","9.0%","1,351","13.1%","508","9.2%","26,003","7.0%","612","7.5%","4,552","8.5%","493","9.4%","23,377","7.0%","17,076","7.7%","1,842","9.4%","9,748","7.8%","250","13.2%","2,236","8.7%","6,594","6.8%","864","4.3%","7,775","8.0%"
"        Divorced","408,831","13.0%","631","8.9%","1,790","18.8%","11,306","14.0%","4,626","14.5%","5,512","16.2%","28,931","14.0%","192","11.2%","6,549","14.5%","1,908","11.5%","363","11.7%","3,948","11.6%","92","9.6%","3,696","10.0%","4,494","14.7%","4,524","12.4%","2,447","16.0%","105,782","11.4%","15,600","14.0%","2,369","12.6%","1,266","13.4%","5,480","16.3%","466","10.3%","4,038","15.2%","1,994","11.8%","1,800","17.5%","806","14.6%","51,645","14.0%","1,164","14.2%","7,788","14.5%","580","11.0%","43,186","12.9%","35,194","15.8%","2,488","12.7%","17,767","14.3%","156","8.3%","3,030","11.8%","11,995","12.4%","1,880","9.4%","11,348","11.7%"
"FERTILITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","95,119","95,119","217","217","262","262","2,294","2,294","977","977","554","554","6,590","6,590","72","72","1,119","1,119","506","506","38","38","1,884","1,884","43","43","1,522","1,522","897","897","1,024","1,024","138","138","25,964","25,964","3,396","3,396","323","323","225","225","1,265","1,265","126","126","734","734","652","652","213","213","278","278","13,337","13,337","124","124","1,528","1,528","42","42","11,062","11,062","6,462","6,462","641","641","3,056","3,056","55","55","575","575","2,567","2,567","378","378","3,979","3,979"
"        Unmarried women (widowed, divorced, and never married)","22,958","24.1%","74","34.1%","101","38.5%","657","28.6%","154","15.8%","211","38.1%","1,209","18.3%","28","38.9%","351","31.4%","308","60.9%","20","52.6%","584","31.0%","0","0.0%","461","30.3%","503","56.1%","165","16.1%","49","35.5%","4,597","17.7%","825","24.3%","55","17.0%","24","10.7%","394","31.1%","55","43.7%","237","32.3%","169","25.9%","127","59.6%","73","26.3%","3,326","24.9%","30","24.2%","474","31.0%","10","23.8%","2,219","20.1%","1,789","27.7%","275","42.9%","972","31.8%","2","3.6%","177","30.8%","592","23.1%","41","10.8%","1,620","40.7%"
"            Per 1,000 unmarried women","24","(X)","35","(X)","37","(X)","26","(X)","16","(X)","27","(X)","20","(X)","72","(X)","27","(X)","66","(X)","27","(X)","46","(X)","0","(X)","39","(X)","60","(X)","23","(X)","20","(X)","15","(X)","28","(X)","8","(X)","11","(X)","44","(X)","72","(X)","38","(X)","40","(X)","68","(X)","66","(X)","30","(X)","20","(X)","34","(X)","7","(X)","23","(X)","26","(X)","67","(X)","27","(X)","10","(X)","21","(X)","18","(X)","4","(X)","48","(X)"
"        Per 1,000 women 15 to 50 years old","53","(X)","50","(X)","60","(X)","48","(X)","59","(X)","42","(X)","56","(X)","104","(X)","47","(X)","56","(X)","31","(X)","82","(X)","99","(X)","68","(X)","63","(X)","61","(X)","29","(X)","45","(X)","58","(X)","29","(X)","53","(X)","75","(X)","64","(X)","62","(X)","79","(X)","58","(X)","124","(X)","61","(X)","42","(X)","57","(X)","16","(X)","56","(X)","52","(X)","74","(X)","45","(X)","99","(X)","41","(X)","46","(X)","26","(X)","68","(X)"
"        Per 1,000 women 15 to 19 years old","7","(X)","30","(X)","56","(X)","19","(X)","0","(X)","0","(X)","4","(X)","0","(X)","0","(X)","3","(X)","0","(X)","4","(X)","0","(X)","23","(X)","13","(X)","5","(X)","0","(X)","3","(X)","8","(X)","5","(X)","0","(X)","26","(X)","30","(X)","10","(X)","9","(X)","58","(X)","0","(X)","3","(X)","21","(X)","14","(X)","0","(X)","4","(X)","5","(X)","11","(X)","11","(X)","0","(X)","0","(X)","0","(X)","0","(X)","31","(X)"
"        Per 1,000 women 20 to 34 years old","83","(X)","99","(X)","66","(X)","82","(X)","112","(X)","84","(X)","94","(X)","233","(X)","86","(X)","121","(X)","45","(X)","160","(X)","307","(X)","119","(X)","135","(X)","95","(X)","57","(X)","61","(X)","103","(X)","57","(X)","117","(X)","116","(X)","134","(X)","100","(X)","157","(X)","96","(X)","135","(X)","103","(X)","67","(X)","112","(X)","29","(X)","84","(X)","88","(X)","144","(X)","72","(X)","211","(X)","74","(X)","71","(X)","32","(X)","118","(X)"
"        Per 1,000 women 35 to 50 years old","35","(X)","1","(X)","56","(X)","26","(X)","27","(X)","17","(X)","37","(X)","26","(X)","26","(X)","16","(X)","27","(X)","30","(X)","0","(X)","33","(X)","20","(X)","41","(X)","14","(X)","39","(X)","26","(X)","6","(X)","10","(X)","53","(X)","24","(X)","43","(X)","33","(X)","29","(X)","151","(X)","34","(X)","30","(X)","17","(X)","14","(X)","45","(X)","27","(X)","38","(X)","27","(X)","8","(X)","23","(X)","31","(X)","36","(X)","28","(X)"
"GRANDPARENTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","141,054","141,054","254","254","451","451","3,669","3,669","1,288","1,288","1,045","1,045","9,168","9,168","7","7","3,343","3,343","1,186","1,186","212","212","2,784","2,784","13","13","2,342","2,342","1,514","1,514","1,207","1,207","185","185","33,632","33,632","5,401","5,401","502","502","169","169","2,236","2,236","107","107","1,645","1,645","897","897","464","464","230","230","19,534","19,534","119","119","3,321","3,321","364","364","15,255","15,255","9,107","9,107","1,206","1,206","5,749","5,749","184","184","1,082","1,082","3,341","3,341","314","314","7,527","7,527"
"        Grandparents responsible for grandchildren","39,831","28.2%","89","35.0%","290","64.3%","1,382","37.7%","265","20.6%","322","30.8%","2,210","24.1%","0","0.0%","1,548","46.3%","457","38.5%","134","63.2%","957","34.4%","4","30.8%","639","27.3%","392","25.9%","368","30.5%","65","35.1%","7,562","22.5%","1,597","29.6%","254","50.6%","62","36.7%","665","29.7%","31","29.0%","468","28.4%","404","45.0%","142","30.6%","106","46.1%","5,082","26.0%","30","25.2%","1,044","31.4%","60","16.5%","3,771","24.7%","2,845","31.2%","474","39.3%","2,108","36.7%","100","54.3%","289","26.7%","1,452","43.5%","94","29.9%","2,069","27.5%"
"        Years responsible for grandchildren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Less than 1 year","6,720","4.8%","40","15.7%","105","23.3%","239","6.5%","44","3.4%","44","4.2%","345","3.8%","0","0.0%","73","2.2%","106","8.9%","53","25.0%","290","10.4%","0","0.0%","102","4.4%","38","2.5%","143","11.8%","2","1.1%","1,181","3.5%","150","2.8%","0","0.0%","6","3.6%","76","3.4%","0","0.0%","3","0.2%","91","10.1%","28","6.0%","0","0.0%","1,133","5.8%","2","1.7%","147","4.4%","37","10.2%","671","4.4%","402","4.4%","106","8.8%","363","6.3%","21","11.4%","151","14.0%","77","2.3%","9","2.9%","442","5.9%"
"            1 or 2 years","7,663","5.4%","2","0.8%","0","0.0%","424","11.6%","109","8.5%","51","4.9%","714","7.8%","0","0.0%","370","11.1%","51","4.3%","24","11.3%","167","6.0%","0","0.0%","148","6.3%","44","2.9%","25","2.1%","3","1.6%","1,254","3.7%","258","4.8%","18","3.6%","21","12.4%","160","7.2%","5","4.7%","72","4.4%","126","14.0%","0","0.0%","6","2.6%","765","3.9%","5","4.2%","137","4.1%","12","3.3%","654","4.3%","770","8.5%","77","6.4%","506","8.8%","0","0.0%","37","3.4%","199","6.0%","50","15.9%","399","5.3%"
"            3 or 4 years","6,584","4.7%","6","2.4%","125","27.7%","139","3.8%","28","2.2%","111","10.6%","484","5.3%","0","0.0%","140","4.2%","140","11.8%","29","13.7%","96","3.4%","4","30.8%","110","4.7%","120","7.9%","49","4.1%","17","9.2%","1,286","3.8%","330","6.1%","77","15.3%","10","5.9%","99","4.4%","12","11.2%","95","5.8%","33","3.7%","50","10.8%","0","0.0%","1,021","5.2%","8","6.7%","134","4.0%","4","1.1%","645","4.2%","462","5.1%","56","4.6%","263","4.6%","0","0.0%","52","4.8%","125","3.7%","3","1.0%","221","2.9%"
"            5 or more years","18,864","13.4%","41","16.1%","60","13.3%","580","15.8%","84","6.5%","116","11.1%","667","7.3%","0","0.0%","965","28.9%","160","13.5%","28","13.2%","404","14.5%","0","0.0%","279","11.9%","190","12.5%","151","12.5%","43","23.2%","3,841","11.4%","859","15.9%","159","31.7%","25","14.8%","330","14.8%","14","13.1%","298","18.1%","154","17.2%","64","13.8%","100","43.5%","2,163","11.1%","15","12.6%","626","18.8%","7","1.9%","1,801","11.8%","1,211","13.3%","235","19.5%","976","17.0%","79","42.9%","49","4.5%","1,051","31.5%","32","10.2%","1,007","13.4%"
"    Number of grandparents responsible for own grandchildren under 18 years","39,831","39,831","89","89","290","290","1,382","1,382","265","265","322","322","2,210","2,210","0","0","1,548","1,548","457","457","134","134","957","957","4","4","639","639","392","392","368","368","65","65","7,562","7,562","1,597","1,597","254","254","62","62","665","665","31","31","468","468","404","404","142","142","106","106","5,082","5,082","30","30","1,044","1,044","60","60","3,771","3,771","2,845","2,845","474","474","2,108","2,108","100","100","289","289","1,452","1,452","94","94","2,069","2,069"
"        Who are female","24,118","60.6%","60","67.4%","187","64.5%","809","58.5%","157","59.2%","196","60.9%","1,314","59.5%","0","-","704","45.5%","224","49.0%","64","47.8%","612","63.9%","4","100.0%","409","64.0%","210","53.6%","255","69.3%","63","96.9%","4,727","62.5%","734","46.0%","118","46.5%","44","71.0%","432","65.0%","20","64.5%","308","65.8%","272","67.3%","85","59.9%","71","67.0%","2,998","59.0%","20","66.7%","672","64.4%","42","70.0%","2,417","64.1%","1,939","68.2%","295","62.2%","1,287","61.1%","74","74.0%","131","45.3%","868","59.8%","53","56.4%","1,243","60.1%"
"        Who are married","28,707","72.1%","63","70.8%","176","60.7%","1,018","73.7%","181","68.3%","226","70.2%","1,680","76.0%","0","-","1,379","89.1%","422","92.3%","119","88.8%","688","71.9%","0","0.0%","407","63.7%","274","69.9%","267","72.6%","6","9.2%","5,470","72.3%","1,182","74.0%","139","54.7%","47","75.8%","457","68.7%","19","61.3%","311","66.5%","260","64.4%","90","63.4%","40","37.7%","3,633","71.5%","17","56.7%","806","77.2%","52","86.7%","2,632","69.8%","1,758","61.8%","263","55.5%","1,566","74.3%","100","100.0%","236","81.7%","1,255","86.4%","56","59.6%","1,412","68.2%"
"SCHOOL ENROLLMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 3 years and over enrolled in school","1,766,556","1,766,556","6,133","6,133","4,221","4,221","53,279","53,279","17,955","17,955","12,434","12,434","116,658","116,658","693","693","23,538","23,538","10,232","10,232","1,151","1,151","28,006","28,006","403","403","26,658","26,658","14,122","14,122","15,735","15,735","3,842","3,842","506,577","506,577","57,188","57,188","13,375","13,375","3,876","3,876","17,368","17,368","2,090","2,090","12,363","12,363","9,034","9,034","3,630","3,630","2,338","2,338","217,214","217,214","2,315","2,315","27,791","27,791","2,044","2,044","186,717","186,717","129,461","129,461","9,141","9,141","65,015","65,015","678","678","16,525","16,525","55,193","55,193","22,026","22,026","69,537","69,537"
"        Nursery school, preschool","107,091","6.1%","238","3.9%","387","9.2%","3,030","5.7%","923","5.1%","829","6.7%","6,237","5.3%","16","2.3%","1,497","6.4%","504","4.9%","95","8.3%","1,409","5.0%","18","4.5%","1,517","5.7%","711","5.0%","1,374","8.7%","120","3.1%","34,565","6.8%","3,845","6.7%","416","3.1%","204","5.3%","1,012","5.8%","145","6.9%","519","4.2%","536","5.9%","208","5.7%","164","7.0%","12,316","5.7%","134","5.8%","1,837","6.6%","81","4.0%","11,891","6.4%","7,881","6.1%","617","6.7%","4,252","6.5%","41","6.0%","680","4.1%","2,545","4.6%","439","2.0%","3,858","5.5%"
"        Kindergarten","92,638","5.2%","304","5.0%","231","5.5%","3,284","6.2%","890","5.0%","1,140","9.2%","6,750","5.8%","45","6.5%","1,294","5.5%","385","3.8%","68","5.9%","1,975","7.1%","22","5.5%","1,674","6.3%","540","3.8%","733","4.7%","247","6.4%","25,317","5.0%","3,240","5.7%","428","3.2%","196","5.1%","1,125","6.5%","158","7.6%","737","6.0%","788","8.7%","249","6.9%","145","6.2%","11,915","5.5%","75","3.2%","1,932","7.0%","113","5.5%","9,671","5.2%","5,777","4.5%","571","6.2%","2,903","4.5%","52","7.7%","611","3.7%","2,837","5.1%","361","1.6%","3,855","5.5%"
"        Elementary school (grades 1-8)","740,034","41.9%","3,577","58.3%","1,937","45.9%","24,439","45.9%","8,316","46.3%","5,139","41.3%","52,253","44.8%","348","50.2%","10,719","45.5%","5,362","52.4%","542","47.1%","13,392","47.8%","176","43.7%","13,126","49.2%","7,347","52.0%","7,037","44.7%","2,007","52.2%","195,746","38.6%","24,435","42.7%","3,609","27.0%","2,015","52.0%","7,788","44.8%","940","45.0%","5,541","44.8%","4,250","47.0%","1,656","45.6%","1,083","46.3%","94,144","43.3%","1,100","47.5%","12,337","44.4%","970","47.5%","81,809","43.8%","53,114","41.0%","4,313","47.2%","27,282","42.0%","348","51.3%","5,983","36.2%","18,916","34.3%","3,290","14.9%","33,648","48.4%"
"        High school (grades 9-12)","369,769","20.9%","1,429","23.3%","1,046","24.8%","12,579","23.6%","4,123","23.0%","2,777","22.3%","27,711","23.8%","89","12.8%","5,106","21.7%","2,507","24.5%","347","30.1%","6,598","23.6%","139","34.5%","6,442","24.2%","3,458","24.5%","2,784","17.7%","667","17.4%","97,505","19.2%","12,347","21.6%","1,749","13.1%","892","23.0%","4,214","24.3%","694","33.2%","3,246","26.3%","1,979","21.9%","875","24.1%","675","28.9%","45,857","21.1%","644","27.8%","6,229","22.4%","476","23.3%","41,189","22.1%","25,256","19.5%","2,651","29.0%","13,841","21.3%","146","21.5%","3,503","21.2%","9,626","17.4%","1,305","5.9%","17,068","24.5%"
"        College or graduate school","457,024","25.9%","585","9.5%","620","14.7%","9,947","18.7%","3,703","20.6%","2,549","20.5%","23,707","20.3%","195","28.1%","4,922","20.9%","1,474","14.4%","99","8.6%","4,632","16.5%","48","11.9%","3,899","14.6%","2,066","14.6%","3,807","24.2%","801","20.8%","153,444","30.3%","13,321","23.3%","7,173","53.6%","569","14.7%","3,229","18.6%","153","7.3%","2,320","18.8%","1,481","16.4%","642","17.7%","271","11.6%","52,982","24.4%","362","15.6%","5,456","19.6%","404","19.8%","42,157","22.6%","37,433","28.9%","989","10.8%","16,737","25.7%","91","13.4%","5,748","34.8%","21,269","38.5%","16,631","75.5%","11,108","16.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","5,347,314","5,347,314","11,258","11,258","16,165","16,165","134,954","134,954","54,434","54,434","59,865","59,865","345,411","345,411","3,021","3,021","77,072","77,072","28,706","28,706","5,559","5,559","56,267","56,267","1,696","1,696","60,723","60,723","55,194","55,194","63,659","63,659","27,822","27,822","1,622,636","1,622,636","194,382","194,382","28,306","28,306","17,119","17,119","58,732","58,732","7,879","7,879","48,525","48,525","29,871","29,871","18,446","18,446","9,958","9,958","622,204","622,204","14,820","14,820","92,028","92,028","9,148","9,148","580,338","580,338","371,538","371,538","33,841","33,841","208,615","208,615","3,451","3,451","40,947","40,947","152,506","152,506","24,342","24,342","155,876","155,876"
"        Less than 9th grade","183,332","3.4%","2,448","21.7%","249","1.5%","6,917","5.1%","4,424","8.1%","1,254","2.1%","8,096","2.3%","97","3.2%","2,547","3.3%","2,864","10.0%","118","2.1%","8,363","14.9%","28","1.7%","6,654","11.0%","1,905","3.5%","804","1.3%","164","0.6%","51,587","3.2%","2,872","1.5%","446","1.6%","685","4.0%","2,038","3.5%","135","1.7%","1,309","2.7%","2,044","6.8%","594","3.2%","140","1.4%","16,112","2.6%","195","1.3%","3,325","3.6%","126","1.4%","15,966","2.8%","7,201","1.9%","581","1.7%","3,787","1.8%","136","3.9%","1,868","4.6%","3,271","2.1%","295","1.2%","21,687","13.9%"
"        9th to 12th grade, no diploma","240,317","4.5%","821","7.3%","881","5.5%","6,445","4.8%","3,522","6.5%","2,965","5.0%","16,221","4.7%","209","6.9%","5,109","6.6%","2,364","8.2%","359","6.5%","5,227","9.3%","93","5.5%","5,230","8.6%","3,584","6.5%","1,961","3.1%","656","2.4%","49,162","3.0%","6,372","3.3%","1,496","5.3%","1,124","6.6%","4,132","7.0%","460","5.8%","3,297","6.8%","2,134","7.1%","1,010","5.5%","514","5.2%","31,435","5.1%","428","2.9%","5,158","5.6%","476","5.2%","25,902","4.5%","14,635","3.9%","2,112","6.2%","8,113","3.9%","138","4.0%","2,662","6.5%","6,941","4.6%","725","3.0%","16,244","10.4%"
"        High school graduate (includes equivalency)","1,165,130","21.8%","3,527","31.3%","5,066","31.3%","31,381","23.3%","13,438","24.7%","14,509","24.2%","86,080","24.9%","608","20.1%","24,528","31.8%","7,933","27.6%","1,771","31.9%","14,608","26.0%","415","24.5%","17,326","28.5%","19,482","35.3%","13,752","21.6%","5,729","20.6%","238,296","14.7%","41,545","21.4%","7,507","26.5%","4,568","26.7%","17,827","30.4%","2,117","26.9%","14,674","30.2%","8,854","29.6%","5,450","29.5%","3,195","32.1%","163,980","26.4%","2,359","15.9%","23,624","25.7%","2,865","31.3%","132,885","22.9%","86,854","23.4%","11,357","33.6%","45,825","22.0%","966","28.0%","8,957","21.9%","33,470","21.9%","3,471","14.3%","44,331","28.4%"
"        Some college, no degree","1,188,000","22.2%","2,057","18.3%","4,135","25.6%","32,007","23.7%","11,533","21.2%","15,733","26.3%","86,583","25.1%","887","29.4%","22,290","28.9%","6,658","23.2%","1,613","29.0%","11,631","20.7%","461","27.2%","14,657","24.1%","14,217","25.8%","17,162","27.0%","6,843","24.6%","267,988","16.5%","51,947","26.7%","6,477","22.9%","3,754","21.9%","15,978","27.2%","2,375","30.1%","12,770","26.3%","6,843","22.9%","5,268","28.6%","2,858","28.7%","155,802","25.0%","3,057","20.6%","23,355","25.4%","2,452","26.8%","138,201","23.8%","95,998","25.8%","8,846","26.1%","51,537","24.7%","954","27.6%","10,390","25.4%","35,981","23.6%","5,028","20.7%","31,674","20.3%"
"        Associate's degree","541,092","10.1%","748","6.6%","2,100","13.0%","14,562","10.8%","5,441","10.0%","6,952","11.6%","37,244","10.8%","415","13.7%","9,809","12.7%","2,650","9.2%","691","12.4%","5,163","9.2%","241","14.2%","6,127","10.1%","6,525","11.8%","7,470","11.7%","2,339","8.4%","125,654","7.7%","22,972","11.8%","2,174","7.7%","1,717","10.0%","7,153","12.2%","979","12.4%","6,070","12.5%","3,232","10.8%","1,750","9.5%","1,111","11.2%","72,468","11.6%","986","6.7%","10,178","11.1%","818","8.9%","62,145","10.7%","48,216","13.0%","3,857","11.4%","23,407","11.2%","493","14.3%","4,838","11.8%","16,392","10.7%","2,431","10.0%","13,574","8.7%"
"        Bachelor's degree","1,244,437","23.3%","1,018","9.0%","2,321","14.4%","26,629","19.7%","10,471","19.2%","10,921","18.2%","70,887","20.5%","483","16.0%","8,679","11.3%","4,466","15.6%","644","11.6%","6,915","12.3%","269","15.9%","7,832","12.9%","6,104","11.1%","13,324","20.9%","6,616","23.8%","519,110","32.0%","44,914","23.1%","6,515","23.0%","2,950","17.2%","7,495","12.8%","1,207","15.3%","6,510","13.4%","4,140","13.9%","3,112","16.9%","1,409","14.1%","117,242","18.8%","4,463","30.1%","16,556","18.0%","1,457","15.9%","135,876","23.4%","76,236","20.5%","4,341","12.8%","47,084","22.6%","506","14.7%","6,937","16.9%","34,017","22.3%","6,581","27.0%","18,200","11.7%"
"        Graduate or professional degree","785,006","14.7%","639","5.7%","1,413","8.7%","17,013","12.6%","5,605","10.3%","7,531","12.6%","40,300","11.7%","322","10.7%","4,110","5.3%","1,771","6.2%","363","6.5%","4,360","7.7%","189","11.1%","2,897","4.8%","3,377","6.1%","9,186","14.4%","5,475","19.7%","370,839","22.9%","23,760","12.2%","3,691","13.0%","2,321","13.6%","4,109","7.0%","606","7.7%","3,895","8.0%","2,624","8.8%","1,262","6.8%","731","7.3%","65,165","10.5%","3,332","22.5%","9,832","10.7%","954","10.4%","69,363","12.0%","42,398","11.4%","2,747","8.1%","28,862","13.8%","258","7.5%","5,295","12.9%","22,434","14.7%","5,811","23.9%","10,166","6.5%"
"        High school graduate or higher","4,923,665","92.1%","7,989","71.0%","15,035","93.0%","121,592","90.1%","46,488","85.4%","55,646","93.0%","321,094","93.0%","2,715","89.9%","69,416","90.1%","23,478","81.8%","5,082","91.4%","42,677","75.8%","1,575","92.9%","48,839","80.4%","49,705","90.1%","60,894","95.7%","27,002","97.1%","1,521,887","93.8%","185,138","95.2%","26,364","93.1%","15,310","89.4%","52,562","89.5%","7,284","92.4%","43,919","90.5%","25,693","86.0%","16,842","91.3%","9,304","93.4%","574,657","92.4%","14,197","95.8%","83,545","90.8%","8,546","93.4%","538,470","92.8%","349,702","94.1%","31,148","92.0%","196,715","94.3%","3,177","92.1%","36,417","88.9%","142,294","93.3%","23,322","95.8%","117,945","75.7%"
"        Bachelor's degree or higher","2,029,443","38.0%","1,657","14.7%","3,734","23.1%","43,642","32.3%","16,076","29.5%","18,452","30.8%","111,187","32.2%","805","26.6%","12,789","16.6%","6,237","21.7%","1,007","18.1%","11,275","20.0%","458","27.0%","10,729","17.7%","9,481","17.2%","22,510","35.4%","12,091","43.5%","889,949","54.8%","68,674","35.3%","10,206","36.1%","5,271","30.8%","11,604","19.8%","1,813","23.0%","10,405","21.4%","6,764","22.6%","4,374","23.7%","2,140","21.5%","182,407","29.3%","7,795","52.6%","26,388","28.7%","2,411","26.4%","205,239","35.4%","118,634","31.9%","7,088","20.9%","75,946","36.4%","764","22.1%","12,232","29.9%","56,451","37.0%","12,392","50.9%","28,366","18.2%"
"VETERAN STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian population 18 years and over","5,963,838","5,963,838","13,393","13,393","17,837","17,837","152,711","152,711","60,832","60,832","64,024","64,024","386,917","386,917","3,288","3,288","85,594","85,594","32,348","32,348","6,018","6,018","66,076","66,076","1,860","1,860","70,500","70,500","60,407","60,407","63,769","63,769","29,024","29,024","1,806,990","1,806,990","206,285","206,285","36,674","36,674","18,496","18,496","64,784","64,784","8,611","8,611","53,107","53,107","32,525","32,525","19,761","19,761","10,968","10,968","685,618","685,618","15,691","15,691","100,562","100,562","9,960","9,960","640,551","640,551","418,401","418,401","36,910","36,910","226,280","226,280","3,706","3,706","49,336","49,336","183,199","183,199","39,822","39,822","181,003","181,003"
